City,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points
"ALBANY, GA",27.4,17,5.7,5.2,0.5,3.0,-15.0,15.5,2.1,0.0,0.0,0.0,,,,,1.6
"NORFOLK, VA",16.7,34,15.2,12.4,2.8,3.0,-15.0,17.8,1.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,1.6
"MORGAN HILL, CA",3.3,1,16.2,27.8,-11.6,,,,,0.01,0.01,0.0,2.0,-0.05,0.05,1.6,1.6
"HIGHLAND PARK, IL",2.2,1,17.9,12.4,5.5,,,,,0.01,0.0,0.0,2.0,-0.05,0.05,1.6,1.6
"COLUMBIA, MO",12.5,9,26.6,14.1,12.6,1.0,-25.0,37.6,1.1,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,1.6
"BURLINGTON, IA",16.2,6,31.9,26.4,5.5,1.0,-25.0,30.5,1.8,0.02,0.0,0.02,2.0,-0.05,0.07,0.9,1.6
"TOPEKA, KS",20.8,25,30.1,23.0,7.0,1.0,-25.0,32.0,1.7,0.01,0.0,0.0,1.0,-0.02,0.02,1.3,1.6
"DURHAM, NC",17.6,29,11.6,8.3,3.4,3.0,-15.0,18.4,1.6,0.01,0.01,0.01,2.0,-0.05,0.06,1.5,1.6
"MORGANTOWN, WV",8.6,5,20.5,15.6,4.9,2.0,-20.0,24.9,1.1,0.03,0.0,0.03,3.0,-0.6,0.63,3.0,1.6
"AMES, IA",7.0,3,51.6,39.1,12.5,1.0,-25.0,37.5,1.1,0.06,0.03,0.03,3.0,-0.6,0.63,3.0,1.6
"YOUNGSTOWN, OH",27.5,30,20.9,18.9,2.0,2.0,-20.0,22.0,1.5,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,1.6
"BILOXI, MS",20.0,10,13.8,10.2,3.6,3.0,-15.0,18.6,1.5,0.0,0.0,0.0,1.0,-0.02,0.02,1.6,1.6
"AUBURN, AL",8.5,4,31.9,24.5,7.4,1.0,-25.0,32.4,1.6,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,1.6
"LIVONIA, MI",8.1,9,30.4,22.7,7.7,1.0,-25.0,32.7,1.6,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.6
"PORTLAND, OR",14.8,77,40.4,27.8,12.6,1.0,-25.0,37.6,1.1,0.11,0.07,0.04,3.0,-0.6,0.64,3.0,1.6
"MERIDIAN, MS",28.8,15,24.2,22.4,1.9,2.0,-20.0,21.9,1.6,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.6
"AUGUSTA, GA",25.2,38,7.4,4.9,2.5,3.0,-15.0,17.5,1.8,0.01,0.0,0.01,1.0,-0.02,0.03,0.9,1.5
"DULUTH, MN",12.7,13,27.5,20.1,7.4,1.0,-25.0,32.4,1.6,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,1.5
"DAVENPORT, IA",9.9,9,26.0,25.9,0.1,2.0,-20.0,20.1,1.8,0.01,0.0,0.01,1.0,-0.02,0.03,0.6,1.5
"RICHMOND, VA",31.7,59,23.5,18.1,5.4,2.0,-20.0,25.4,1.0,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,1.5
"SANTA ROSA, CA",10.1,16,17.9,11.4,6.5,3.0,-15.0,21.5,1.0,0.02,0.01,0.02,3.0,-0.6,0.62,3.1,1.5
"JANESVILLE, WI",7.5,4,32.2,24.5,7.7,1.0,-25.0,32.7,1.6,0.0,0.0,0.0,1.0,-0.02,0.02,1.3,1.5
"HUNTINGTON, WV",6.7,4,36.9,29.5,7.4,1.0,-25.0,32.4,1.6,0.02,0.01,0.01,2.0,-0.05,0.06,1.2,1.5
"NEWINGTON, CT",10.8,4,9.8,4.5,5.3,3.0,-15.0,20.3,1.2,0.0,0.0,0.0,1.0,-0.02,0.02,2.3,1.5
"AKRON, OH",24.2,64,16.8,12.7,4.0,3.0,-15.0,19.0,1.5,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,1.5
"NORTHFIELD, NJ",0.0,0,41.4,,,,,,,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,1.5
"WEST FARGO, ND",9.1,2,33.4,23.6,9.8,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.5
"NORTH PLATTE, NE",4.0,1,37.8,60.1,-22.2,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.5
"JACKSONVILLE, FL",22.4,109,10.1,6.3,3.8,3.0,-15.0,18.8,1.5,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,1.5
