City,Overall Score,Ridership,Safety,Acceleration,Network,Reach
"BAKERSFIELD, CA",1.2,1.5,1.2,0.5,1.3,1.7
"BALTIMORE, MD",2.8,1.7,2.3,3.5,2.1,1.7
"CINCINNATI, OH",1.6,1.8,1.8,0.5,2.1,1.7
"CHARLESTON, SC",1.4,2.2,1.4,0.4,1.2,1.7
"SANTA FE, NM",1.5,1.8,2.1,0.5,1.4,1.7
"BROKEN ARROW, OK",1.3,1.0,1.6,,0.8,1.7
"BETTENDORF, IA",1.8,1.6,2.4,0.5,2.9,1.7
"PHOENIX, AZ",1.5,1.9,1.4,0.5,2.2,1.7
"RIO RANCHO, NM",1.3,1.0,1.8,,0.8,1.7
"SCRANTON, PA",1.4,0.9,1.6,,1.6,1.7
"GILBERT, AZ",1.4,1.1,1.4,,1.6,1.7
"HIGH POINT, NC",1.3,1.2,2.4,0.3,1.2,1.7
"BRIDGEPORT, CT",1.3,1.4,2.0,0.3,1.2,1.7
"SCOTTSDALE, AZ",1.7,2.0,1.9,0.5,2.2,1.7
"STATE COLLEGE, PA",1.9,2.0,2.4,0.6,3.1,1.6
"OAKLAND, CA",1.8,2.5,1.8,0.6,2.2,1.6
"HATTIESBURG, MS",1.3,1.4,1.9,0.4,1.2,1.6
"MAPLE GROVE, MN",1.8,1.5,1.8,,2.4,1.6
"HAMMOND, IN",1.4,1.2,1.0,,1.6,1.6
"TACOMA, WA",1.6,1.8,1.9,0.6,2.1,1.6
"PLANO, TX",1.4,1.5,1.9,0.4,1.3,1.6
"NEWBURYPORT, MA",1.6,1.5,2.4,0.5,2.2,1.6
"COLORADO SPRINGS, CO",3.1,2.0,3.1,3.9,2.3,1.6
"DOWNERS GROVE, IL",1.6,1.8,2.3,0.3,2.0,1.6
"SPRINGFIELD, IL",1.4,1.7,2.1,0.5,1.2,1.6
"OXFORD, MS",1.3,0.8,1.6,0.7,1.6,1.6
"COLUMBUS, GA",1.1,1.0,1.0,,0.8,1.6
"THORNTON, CO",1.1,1.1,1.0,,0.8,1.6
"PAWTUCKET, RI",1.4,1.4,2.3,0.3,1.2,1.6
"KNOXVILLE, TN",2.4,1.6,1.9,2.9,1.4,1.6
"ALBANY, GA",0.9,0.8,0.4,,0.8,1.6
"NORFOLK, VA",1.3,1.5,1.9,0.6,1.2,1.6
"MORGAN HILL, CA",1.6,1.5,2.2,0.5,2.1,1.6
"HIGHLAND PARK, IL",2.4,1.9,2.8,1.3,2.1,1.6
"COLUMBIA, MO",1.7,1.8,2.0,0.6,2.3,1.6
"BURLINGTON, IA",1.5,1.5,2.2,0.4,2.0,1.6
"TOPEKA, KS",1.5,1.7,1.3,0.6,2.2,1.6
"DURHAM, NC",2.7,1.7,3.4,3.1,1.4,1.6
"MORGANTOWN, WV",1.5,1.4,1.6,0.5,2.2,1.6
"AMES, IA",1.9,1.9,2.3,0.5,2.9,1.6
"YOUNGSTOWN, OH",1.0,1.0,0.6,,0.8,1.6
"BILOXI, MS",1.1,1.2,1.3,0.4,1.2,1.6
"AUBURN, AL",1.6,1.3,2.3,0.5,2.1,1.6
"LIVONIA, MI",1.4,1.2,1.4,,1.6,1.6
"PORTLAND, OR",3.3,4.0,2.9,3.2,2.3,1.6
"MERIDIAN, MS",1.3,0.7,1.4,,1.6,1.6
"AUGUSTA, GA",1.2,1.4,1.2,0.4,1.3,1.5
"DULUTH, MN",1.7,1.7,2.1,0.6,2.2,1.5
"DAVENPORT, IA",1.6,1.7,1.9,0.5,2.2,1.5
"RICHMOND, VA",1.7,1.8,2.1,0.6,2.2,1.5
"SANTA ROSA, CA",1.5,1.7,2.1,0.6,1.4,1.5
"JANESVILLE, WI",1.6,1.6,2.2,0.5,2.1,1.5
"HUNTINGTON, WV",1.6,1.0,1.4,,2.4,1.5
"NEWINGTON, CT",1.2,1.0,1.6,,0.8,1.5
"AKRON, OH",1.2,1.6,1.1,0.5,1.3,1.5
"NORTHFIELD, NJ",1.4,1.0,0.6,,2.4,1.5
"WEST FARGO, ND",1.6,1.4,1.8,,1.6,1.5
"NORTH PLATTE, NE",1.5,1.1,1.8,,1.6,1.5
"JACKSONVILLE, FL",1.2,1.6,1.1,0.4,1.2,1.5
"NEWARK, DE",1.6,1.7,2.1,0.6,2.2,1.5
"EVANSTON, IL",1.7,2.3,2.2,0.6,2.1,1.5
"CANTON, OH",1.3,1.5,1.8,0.4,1.3,1.5
"PEACHTREE CITY, GA",1.2,0.9,1.8,,0.8,1.5
"WAXHAW, NC",1.2,0.8,1.8,,0.8,1.5
